log_id,session_id,timestamp,action_type,element_id,duration_sec,error_flag,decision_made
1,1071,2025-01-01 00:36:23,drill_down,chart_trend,1.0,0,1
2,504,2025-01-01 00:31:53,hover,KPI_costs,23.347077589572333,0,1
3,1046,2025-01-01 00:15:47,drill_down,chart_trend,1.0,0,1
4,213,2025-01-01 00:44:35,filter,KPI_costs,15.594868975696652,0,1
5,310,2025-01-01 00:15:16,click,table_details,2.166528555876955,0,0
6,661,2025-01-01 00:58:13,click,table_details,8.647784638334192,0,0
7,753,2025-01-01 00:22:44,filter,table_details,3.349827721668974,0,1
8,272,2025-01-01 00:30:52,click,chart_trend,1.0,0,1
9,938,2025-01-01 00:05:41,drill_down,KPI_costs,10.487305089286693,1,0
10,32,2025-01-01 00:06:27,hover,table_details,13.196596888473948,0,0
11,443,2025-01-01 00:00:03,click,chart_trend,2.839011989906981,0,0
12,162,2025-01-01 00:11:16,click,table_details,12.281246022809968,0,1
13,767,2025-01-01 00:27:42,hover,KPI_sales,4.892400338565911,1,0
14,254,2025-01-01 00:40:46,filter,KPI_sales,10.459947143706641,0,0
15,521,2025-01-01 00:58:13,filter,table_details,8.291729313301712,1,1
16,977,2025-01-01 00:40:58,drill_down,chart_trend,21.259467901911673,0,1
17,10,2025-01-01 00:03:32,click,KPI_sales,3.179929760989492,0,0
18,726,2025-01-01 00:09:19,hover,table_details,1.0,0,0
19,505,2025-01-01 00:09:17,drill_down,table_details,12.41987926932532,0,1
20,785,2025-01-01 00:43:25,click,chart_trend,13.404369066334375,0,0
21,436,2025-01-01 00:51:59,click,chart_trend,1.0,0,0
22,1135,2025-01-01 00:54:18,hover,KPI_sales,1.07859570042983,0,0
23,153,2025-01-01 00:42:29,drill_down,table_details,14.279992808116718,0,0
24,917,2025-01-01 00:44:51,click,KPI_sales,7.34244461094256,1,1
25,869,2025-01-01 00:33:14,click,KPI_costs,4.823929889060139,0,0
26,1126,2025-01-01 00:42:58,click,table_details,14.022065512946305,0,1
27,753,2025-01-01 00:15:52,hover,chart_trend,2.258953145822396,0,0
28,563,2025-01-01 00:47:14,filter,KPI_costs,3.1428987776460366,0,1
29,1105,2025-01-01 00:07:54,filter,chart_trend,11.880756620529764,0,0
30,489,2025-01-01 00:29:27,hover,chart_trend,7.1529607420595935,0,1
31,895,2025-01-01 00:00:41,filter,KPI_costs,1.8697810949846816,0,0
32,1112,2025-01-01 00:44:11,filter,KPI_sales,17.953151128266306,1,1
33,104,2025-01-01 00:55:32,hover,KPI_costs,41.400997189236726,0,0
34,1120,2025-01-01 00:34:55,click,table_details,1.2490419114239038,0,1
35,1025,2025-01-01 00:33:06,hover,KPI_sales,2.813705704612712,0,0
36,1007,2025-01-01 00:12:07,click,KPI_sales,11.073183396654828,0,0
37,407,2025-01-01 00:58:37,filter,table_details,1.054173663879259,0,0
38,167,2025-01-01 00:37:48,click,table_details,4.997464964949027,0,0
39,509,2025-01-01 00:27:24,hover,chart_trend,1.9715955167753783,1,0
40,313,2025-01-01 00:15:39,filter,KPI_costs,8.734367428266518,1,0
41,763,2025-01-01 00:05:42,click,table_details,3.567668170513008,0,0
42,681,2025-01-01 00:55:09,click,KPI_costs,15.079595071249877,0,1
43,477,2025-01-01 00:36:42,filter,KPI_sales,4.9038914038351065,0,0
44,73,2025-01-01 00:49:45,drill_down,table_details,6.151845805235538,0,1
45,1165,2025-01-01 00:14:00,filter,KPI_sales,17.585530956367116,0,0
46,582,2025-01-01 00:33:47,drill_down,chart_trend,11.708017273331201,0,1
47,262,2025-01-01 00:52:07,drill_down,chart_trend,13.237305512999042,0,1
48,245,2025-01-01 00:40:34,filter,table_details,1.0,0,0
49,561,2025-01-01 00:14:53,filter,table_details,8.568771650477611,0,0
50,1100,2025-01-01 00:32:12,click,table_details,5.018105667499871,0,1
51,175,2025-01-01 00:22:18,hover,KPI_sales,17.212235471755402,0,1
52,109,2025-01-01 00:00:37,click,table_details,1.0,0,1
53,183,2025-01-01 00:22:44,click,chart_trend,14.90124808170558,1,1
54,192,2025-01-01 00:14:10,drill_down,table_details,1.1648199296954829,0,0
55,65,2025-01-01 00:46:16,hover,table_details,7.168910511081652,1,0
56,963,2025-01-01 00:03:50,filter,KPI_sales,10.372531887669544,0,0
57,1124,2025-01-01 00:41:39,drill_down,KPI_costs,1.7606569165584718,0,1
58,864,2025-01-01 00:22:45,click,chart_trend,1.458815802362568,0,0
59,1152,2025-01-01 00:58:44,filter,KPI_costs,9.172872100259472,1,1
60,369,2025-01-01 00:38:24,click,KPI_sales,1.463897535609147,0,0
61,851,2025-01-01 00:41:21,drill_down,table_details,5.756514819591643,0,0
62,43,2025-01-01 00:03:28,filter,table_details,2.4361349913795802,0,0
63,488,2025-01-01 00:20:24,filter,chart_trend,1.0,1,0
64,78,2025-01-01 00:36:24,click,table_details,1.0,1,1
65,826,2025-01-01 00:43:32,filter,KPI_sales,1.1270798694157005,0,0
66,674,2025-01-01 00:48:23,click,KPI_costs,6.304182731149554,0,1
67,701,2025-01-01 00:57:45,click,chart_trend,1.9002770805131735,0,0
68,759,2025-01-01 00:46:08,click,table_details,15.149970476358714,0,0
69,728,2025-01-01 00:48:12,click,table_details,1.0,0,1
70,925,2025-01-01 00:34:43,click,KPI_costs,8.618393686451212,0,0
71,902,2025-01-01 00:20:38,click,KPI_costs,1.0,0,0
72,889,2025-01-01 00:34:34,click,table_details,17.684907035783667,0,0
73,993,2025-01-01 00:34:25,filter,table_details,1.0,0,0
74,1192,2025-01-01 00:10:29,filter,KPI_sales,1.2348059445385535,0,1
75,339,2025-01-01 00:53:28,drill_down,KPI_costs,2.602299021904362,0,0
76,193,2025-01-01 00:09:38,filter,KPI_costs,1.0,0,1
77,283,2025-01-01 00:15:02,click,KPI_costs,19.400008764193693,0,1
78,390,2025-01-01 00:30:49,drill_down,KPI_sales,1.1359713920797565,0,0
79,1000,2025-01-01 00:50:22,click,KPI_costs,1.0,0,0
80,525,2025-01-01 00:17:33,drill_down,KPI_sales,1.0,0,0
81,659,2025-01-01 00:52:24,click,chart_trend,13.119456627354328,0,1
82,716,2025-01-01 00:02:02,filter,chart_trend,8.395744299186203,0,0
83,891,2025-01-01 00:15:56,filter,KPI_sales,11.314437481917798,0,0
84,1113,2025-01-01 00:16:40,hover,chart_trend,9.764691316722109,0,0
85,1119,2025-01-01 00:16:26,click,KPI_costs,27.517459409311133,0,0
86,452,2025-01-01 00:20:51,hover,KPI_costs,11.704529741224817,0,1
87,428,2025-01-01 00:05:37,filter,KPI_sales,3.857300345328981,1,0
88,1175,2025-01-01 00:16:30,hover,table_details,2.7374885359616528,0,0
