session_id,user_id,interface_version
1,103,B
2,93,B
3,15,A
4,107,B
5,72,B
6,21,A
7,103,B
8,122,A
9,75,B
10,88,A
11,117,A
12,100,A
13,104,B
14,131,A
15,150,B
16,53,A
17,2,A
18,88,B
19,38,B
20,130,A
21,21,B
22,58,B
23,22,B
24,89,A
25,49,A
26,59,B
27,15,A
28,51,B
29,108,B
30,55,B
31,64,B
32,131,B
33,51,A
34,135,B
35,21,A
36,73,A
37,18,B
38,132,B
39,89,B
40,60,B
41,14,A
42,9,A
43,90,B
44,53,A
45,130,A
46,84,A
47,92,A
48,111,A
49,8,A
50,35,A
51,81,A
52,50,B
53,104,A
54,132,A
55,2,B
56,134,A
57,54,B
58,106,B
59,4,A
60,54,A
61,146,B
62,44,B
63,14,A
64,95,B
65,48,A
66,15,B
67,40,A
68,82,B
69,111,B
70,53,B
71,24,B
72,124,A
73,41,A
74,15,A
75,45,A
76,65,B
77,89,A
78,71,A
79,9,B
80,88,B
81,129,B
82,136,B
83,63,A
84,139,A
85,81,B
86,136,B
87,33,A
88,123,B
89,5,A
90,41,A
91,28,B
92,135,B
93,72,B
94,12,A
95,33,B
96,48,A
97,62,A
98,37,B
99,99,B
100,104,B
101,35,B
102,101,B
103,131,B
104,1,A
105,5,A
106,142,A
107,103,A
108,27,B
109,137,A
110,15,A
111,90,A
112,42,B
113,124,A
114,63,B
115,96,A
116,52,A
117,96,B
118,132,B
119,143,A
120,29,B
121,36,B
122,13,A
123,71,B
124,86,B
125,28,B
126,66,B
127,45,B
128,62,B
129,134,B
130,28,B
131,28,B
132,108,B
133,44,B
134,84,A
135,30,B
136,75,B
137,128,A
138,92,B
139,129,A
140,121,A
141,27,B
142,121,A
143,116,B
144,3,B
145,103,B
146,137,A
147,62,A
148,51,B
149,59,B
150,118,B
151,96,A
152,113,B
153,62,B
154,52,B
155,12,A
156,39,B
157,130,B
158,131,B
159,113,A
160,101,B
161,113,B
162,81,A
163,113,B
164,2,B
165,130,A
166,54,A
167,87,B
168,129,A
169,147,B
170,126,A
171,130,B
172,53,A
173,68,B
174,123,B
175,145,B
176,38,B
177,24,A
178,69,B
179,116,A
180,98,A
181,139,A
182,144,A
183,97,B
184,124,B
185,70,A
186,93,A
187,3,B
188,148,A
189,147,A
190,90,A
191,147,B
192,148,B
193,96,A
194,52,A
195,128,B
196,39,B
197,82,A
198,104,B
199,129,A
200,11,A
201,42,B
202,99,A
203,7,B
204,144,A
205,90,A
206,112,B
207,60,A
208,113,B
209,2,A
210,129,A
211,48,A
212,140,B
213,37,A
214,9,B
215,99,A
216,147,B
217,48,A
218,131,B
219,148,B
220,54,B
221,120,B
222,116,B
223,75,B
224,113,A
225,104,A
226,84,B
227,112,B
228,99,B
229,93,A
230,146,A
231,128,A
232,110,B
233,82,A
234,54,A
235,68,A
236,33,A
237,142,B
238,21,A
239,48,B
240,148,A
241,128,A
242,136,A
243,135,A
244,145,A
245,128,A
246,33,B
247,115,A
248,119,B
249,22,B
250,38,B
251,109,A
252,51,A
253,8,A
254,27,A
255,27,B
256,21,A
257,30,A
258,97,B
259,28,B
260,111,B
261,61,A
262,48,A
263,147,B
264,4,A
265,35,A
266,49,A
267,17,A
268,46,A
269,117,A
270,6,B
271,99,B
272,124,B
273,37,A
274,24,A
275,93,A
276,46,B
277,95,B
278,99,A
279,116,B
280,67,A
281,128,B
282,18,B
283,25,B
284,54,B
285,58,B
286,67,A
287,104,B
288,24,A
289,114,B
290,32,B
291,86,B
292,127,A
293,130,B
294,17,B
295,104,B
296,137,A
297,43,A
298,39,A
299,26,A
300,99,B
301,50,A
302,13,B
303,60,A
304,135,A
305,57,B
306,36,B
307,20,A
308,65,B
309,8,B
310,144,A
